datetime,timestamp,in_bed_pct,hr_mean,hr_std,dhr,rr_mean,rr_std,drr,large_move_pct,minor_move_pct,turnovers_delta,apnea_delta,flags,vib_move_pct,vib_resp_q,agree_flags
2000-01-01 06:56:50,946702610,100,65,4,3,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:57:20,946702640,100,84,4,19,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:57:50,946702670,100,66,3,238,18,1,1,0,100,0,0,0,100,95,4
2000-01-01 06:58:20,946702700,100,79,4,13,21,0,3,0,100,0,0,0,100,95,4
2000-01-01 06:58:50,946702730,100,84,3,5,19,1,254,0,100,0,0,0,100,95,4
2000-01-01 06:59:20,946702760,100,77,7,249,19,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:59:50,946702790,100,71,4,250,18,0,255,0,100,0,0,0,100,95,4
2000-01-01 07:00:20,946702820,100,77,0,6,17,0,255,0,100,0,0,0,100,95,4
2000-01-01 07:00:50,946702850,100,78,0,1,18,0,1,0,100,0,0,0,100,95,4
2000-01-01 07:01:20,946702880,100,64,3,242,17,0,255,0,100,0,0,0,100,95,4
2000-01-01 07:01:50,946702910,100,68,3,4,16,0,255,0,100,1,0,1,100,95,5
2000-01-01 07:02:20,946702940,100,71,0,3,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:02:50,946702970,100,81,6,10,17,0,1,0,100,0,0,1,100,95,5
2000-01-01 07:03:20,946703000,100,88,3,7,20,1,3,0,100,0,0,1,100,95,5
2000-01-01 07:03:50,946703030,100,83,3,251,23,1,3,0,100,0,0,1,100,95,5
2000-01-01 07:04:20,946703060,100,74,5,247,18,1,251,0,100,0,0,1,100,95,5
2000-01-01 07:04:50,946703090,100,70,0,252,17,0,255,0,100,0,0,1,100,95,5
2000-01-01 07:05:20,946703120,100,67,5,253,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:06:48,946703208,100,67,4,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:07:18,946703238,100,66,1,255,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:07:48,946703268,100,66,0,0,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:08:18,946703298,100,70,4,4,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:08:48,946703328,100,73,2,3,19,1,2,0,100,0,0,0,100,95,4
2000-01-01 07:09:18,946703358,100,66,0,249,22,1,3,0,100,1,0,1,100,95,5
2000-01-01 07:09:48,946703388,100,64,1,254,16,0,250,0,100,0,0,1,100,95,5
2000-01-01 07:10:18,946703418,100,63,1,255,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:10:48,946703448,100,64,1,1,17,1,1,0,100,0,0,1,100,95,5
2000-01-01 07:11:18,946703478,100,71,5,7,20,2,3,0,100,0,0,1,100,95,5
2000-01-01 07:11:48,946703508,100,88,5,17,23,1,3,0,100,0,0,1,100,95,5
2000-01-01 07:12:18,946703538,100,63,1,231,16,1,249,0,100,0,0,1,100,95,5
2000-01-01 07:12:48,946703568,100,62,0,255,15,0,255,0,100,0,0,1,100,95,5
2000-01-01 07:13:18,946703598,100,62,0,0,16,0,1,0,100,0,0,1,100,95,5
2000-01-01 07:13:48,946703628,100,62,0,0,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:14:18,946703658,100,62,0,0,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:14:48,946703688,100,62,0,0,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:15:18,946703718,100,62,0,0,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:15:48,946703748,100,63,2,1,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:16:18,946703778,100,75,1,12,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:17:41,946703861,100,67,4,248,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:18:11,946703891,100,62,0,251,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:18:41,946703921,100,67,4,5,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:19:11,946703951,100,73,0,6,18,0,2,0,100,0,0,1,100,95,5
2000-01-01 07:19:41,946703981,100,72,1,255,18,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:20:11,946704011,100,69,0,253,16,0,254,0,100,0,0,1,100,95,5
2000-01-01 07:20:41,946704041,100,69,0,0,17,1,1,0,100,0,0,1,100,95,5
2000-01-01 07:21:11,946704071,100,69,0,0,18,1,1,0,100,0,0,1,100,95,5
2000-01-01 07:21:41,946704101,100,66,2,253,17,1,255,0,100,0,0,1,100,95,5
2000-01-01 07:22:11,946704131,100,70,2,4,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:22:41,946704161,100,69,0,255,17,1,0,0,100,0,0,1,100,95,5
2000-01-01 07:23:11,946704191,100,77,5,8,18,0,1,0,100,0,0,1,100,95,5
2000-01-01 07:23:41,946704221,100,74,2,253,18,1,0,0,100,0,0,1,100,95,5
2000-01-01 07:24:11,946704251,100,69,5,251,22,1,4,0,100,0,0,1,100,95,5
2000-01-01 07:24:41,946704281,100,64,2,251,20,2,254,0,100,0,0,1,100,95,5
2000-01-01 07:25:11,946704311,100,67,0,3,21,1,1,0,100,0,0,1,100,95,5
2000-01-01 07:25:41,946704341,100,79,5,12,22,2,1,0,100,0,0,1,100,95,5
2000-01-01 07:26:11,946704371,100,71,1,248,16,1,250,0,100,0,0,1,100,95,5
2000-01-01 07:26:41,946704401,100,76,1,5,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:27:11,946704431,100,79,2,3,16,0,0,0,100,0,0,1,100,95,5
2000-01-01 07:28:36,946704516,100,71,3,248,17,1,1,0,100,0,0,1,100,95,5
2000-01-01 07:29:06,946704546,100,75,0,4,16,0,255,0,100,0,0,1,100,95,5
2000-01-01 07:29:36,946704576,100,77,2,2,17,0,1,0,100,0,0,1,100,95,5
2000-01-01 07:30:06,946704606,100,85,3,8,17,0,0,0,100,0,0,1,100,95,5
